CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,EstimatedCustomerValue,ValueSegment,ChurnProbability,RetentionPriorityScore,RiskLevel
50021,1,0.0,Mobile Phone,3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,1,18.0,6.0,7.0,7.0,161.72,1132.04,High Value,0.93,0.717237322515213,High Risk
50022,1,20.0,Mobile Phone,1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,0,12.0,11.0,15.0,6.0,203.12,3046.8,High Value,0.835,0.7627727414573255,High Risk
50023,1,9.0,Mobile Phone,3,28.0,E wallet,Male,2.0,3,Mobile Phone,3,Single,2,1,19.0,0.0,1.0,0.0,116.75,116.75,Low Value,0.91,0.643831213917928,High Risk
50024,1,0.0,Phone,3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,1,11.0,1.0,2.0,2.0,145.59,291.18,Medium Value,0.9,0.6470373693243876,High Risk
50025,1,14.0,Computer,1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,0,15.0,0.0,1.0,3.0,206.5,206.5,Low Value,0.8,0.5720826181931657,High Risk
50026,1,0.0,Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,0,22.0,1.0,1.0,4.0,142.0,142.0,Low Value,0.905,0.6418086284911843,High Risk
50027,0,8.0,Mobile Phone,3,6.0,E wallet,Male,3.0,3,Fashion,4,Divorced,2,0,13.0,1.0,1.0,6.0,172.95,172.95,Low Value,0.005,0.013619558433452954,Low Risk
50028,0,9.0,Phone,3,12.0,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,20.0,0.0,4.0,5.0,123.06,492.24,High Value,0.03,0.04980168513028553,Low Risk
50029,0,18.0,Phone,1,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,0,18.0,1.0,1.0,15.0,123.47999999999999,123.47999999999999,Low Value,0.03,0.02822499609923545,Low Risk
50030,0,5.0,Computer,3,14.0,E wallet,Female,2.0,3,Fashion,2,Single,2,0,14.0,2.0,3.0,7.0,189.98,569.9399999999999,High Value,0.03,0.054348026213137765,Low Risk
50031,0,2.0,Computer,1,6.0,COD,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,13.0,0.0,1.0,9.0,143.19,143.19,Low Value,0.01,0.015378257138399125,Low Risk
50032,0,0.0,Mobile Phone,1,13.0,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,3,0,17.0,1.0,1.0,0.0,161.32,161.32,Low Value,0.355,0.2579390700577313,Low Risk
50033,0,30.0,Phone,1,15.0,CC,Female,3.0,4,Mobile,4,Divorced,5,1,20.0,1.0,1.0,0.0,133.46,133.46,Low Value,0.03,0.02880894055234826,Low Risk
50034,0,13.0,Mobile Phone,3,10.0,E wallet,Male,3.0,4,Fashion,2,Divorced,8,0,11.0,2.0,2.0,11.0,208.55,417.1,Medium Value,0.02,0.0384051334061476,Low Risk
50035,0,9.0,Computer,3,8.0,E wallet,Female,3.0,3,Mobile,3,Divorced,7,0,18.0,1.0,1.0,2.0,122.31,122.31,Low Value,0.065,0.05265653768138555,Low Risk
50036,0,0.0,Phone,1,14.0,CC,Male,3.0,3,Mobile,2,Divorced,2,0,24.0,0.0,2.0,2.0,123.22999999999999,246.45999999999998,Low Value,0.105,0.087920736464347,Low Risk
50037,0,9.0,Computer,1,15.0,CC,Male,2.0,3,Mobile,4,Married,7,0,18.0,0.0,2.0,2.0,120.24000000000001,240.48000000000002,Low Value,0.045,0.04557083788422531,Low Risk
50038,0,1.0,Phone,1,27.0,CC,Male,3.0,3,Mobile,2,Divorced,2,0,11.0,0.0,1.0,2.0,127.13,127.13,Low Value,0.015,0.017938562958339833,Low Risk
50039,0,30.0,Mobile Phone,1,30.0,Debit Card,Male,2.0,2,Fashion,2,Married,4,1,16.0,1.0,1.0,4.0,194.39,194.39,Low Value,0.0,0.011374044312685285,
50040,0,0.0,Computer,1,14.0,CC,Male,3.0,4,Mobile,3,Married,2,1,15.0,0.0,1.0,1.0,125.66,125.66,Low Value,0.255,0.18585255110001558,Low Risk
50041,0,23.0,Mobile Phone,1,17.0,Debit Card,Female,2.0,3,Others,4,Single,4,0,15.0,2.0,4.0,4.0,299.26,1197.04,High Value,0.0,0.07004056795131845,
50042,0,14.0,Phone,1,14.0,Debit Card,Male,2.0,3,Mobile,3,Married,5,0,12.0,1.0,1.0,8.0,124.50999999999999,124.50999999999999,Low Value,0.035,0.03178526291153066,Low Risk
50043,0,3.0,Mobile Phone,3,11.0,Debit Card,Female,2.0,3,Fashion,2,Divorced,3,0,12.0,2.0,7.0,4.0,194.19,1359.33,High Value,0.03,0.1005363941332501,Low Risk
50044,0,11.0,Mobile Phone,3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,5,0,22.0,1.0,1.0,1.0,186.86,186.86,Low Value,0.01,0.01793345295677953,Low Risk
50045,0,5.0,Phone,1,12.0,Debit Card,Male,3.0,3,Mobile,3,Single,4,0,20.0,0.0,1.0,4.0,130.38,130.38,Low Value,0.005,0.011128725230145107,Low Risk
50046,0,0.0,Phone,1,23.0,COD,Male,3.0,3,Mobile,4,Divorced,1,1,16.0,1.0,1.0,1.0,130.58,130.58,Low Value,0.25,0.18264042752379464,Low Risk
50047,1,0.0,Computer,3,14.0,COD,Female,3.0,5,Mobile,5,Single,1,0,21.0,1.0,1.0,0.0,123.25,123.25,Low Value,0.865,0.6127115384615384,High Risk
50048,0,9.0,Computer,1,9.0,CC,Male,1.0,3,Mobile,4,Single,5,0,12.0,4.0,7.0,2.0,120.88,846.16,High Value,0.015,0.06001006397253862,Low Risk
50049,0,3.0,Computer,1,15.0,CC,Male,3.0,3,Laptop & Accessory,5,Married,2,0,11.0,0.0,6.0,10.0,130.72,784.3199999999999,High Value,0.015,0.056391714776096113,Low Risk
50050,0,18.0,Mobile Phone,3,10.0,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,5,1,11.0,0.0,1.0,3.0,150.06,150.06,Low Value,0.015,0.01928023092526135,Low Risk
50051,0,29.0,Phone,1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,18.0,1.0,2.0,2.0,142.57,285.14,Medium Value,0.035,0.04118396005617101,Low Risk
50052,0,6.0,Phone,1,14.0,Debit Card,Male,2.0,3,Mobile,2,Single,1,0,14.0,0.0,1.0,2.0,125.0,125.0,Low Value,0.015,0.01781393353097207,Low Risk
50053,1,0.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,4,Mobile Phone,2,Single,2,0,22.0,0.0,1.0,0.0,111.02000000000001,111.02000000000001,Low Value,0.92,0.6504959432048681,High Risk
50054,0,19.0,Mobile Phone,3,6.0,E wallet,Female,3.0,3,Fashion,5,Married,2,0,25.0,4.0,15.0,7.0,204.53,3067.95,High Value,0.03,0.2005102590107661,Low Risk
50055,0,9.0,Phone,1,15.0,Debit Card,Female,3.0,3,Mobile,2,Single,2,0,12.0,1.0,2.0,1.0,122.88,245.76,Low Value,0.005,0.017879778436573568,Low Risk
50056,0,4.0,Phone,1,18.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,9,1,23.0,1.0,1.0,2.0,139.29,139.29,Low Value,0.12,0.09215006241223278,Low Risk
50057,0,9.0,Phone,1,33.0,CC,Female,3.0,3,Mobile,4,Single,3,0,15.0,1.0,1.0,2.0,123.11000000000001,123.11000000000001,Low Value,0.025,0.02470334685598377,Low Risk
50058,1,4.0,Phone,3,26.0,E wallet,Female,3.0,3,Mobile,4,Single,2,1,22.0,0.0,1.0,2.0,131.4,131.4,Low Value,0.51,0.36468840692775784,Medium Risk
50059,0,23.0,Phone,1,6.0,Credit Card,Male,2.0,4,Mobile Phone,3,Divorced,3,0,15.0,0.0,1.0,2.0,136.9,136.9,Low Value,0.005,0.011510220003120611,Low Risk
50060,0,26.0,Phone,1,19.0,Credit Card,Female,2.0,2,Laptop & Accessory,5,Married,2,0,11.0,1.0,1.0,3.0,144.5,144.5,Low Value,0.0,0.008454907161803714,
50061,0,6.0,Phone,1,20.0,CC,Female,3.0,3,Mobile,4,Divorced,2,0,13.0,0.0,1.0,6.0,127.56,127.56,Low Value,0.015,0.017963722889686378,Low Risk
50062,0,13.0,Mobile Phone,1,10.0,Credit Card,Female,2.0,3,Others,3,Divorced,2,0,14.0,1.0,9.0,9.0,290.33,2612.97,High Value,0.0,0.1528887111873927,
50063,0,28.0,Mobile Phone,1,20.0,Credit Card,Male,3.0,2,Others,4,Single,9,0,11.0,1.0,2.0,15.0,287.22,574.44,High Value,0.015,0.044111327820252774,Low Risk
50064,0,7.0,Computer,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,0,17.0,0.0,1.0,9.0,195.47,195.47,Low Value,0.025,0.028937236698392883,Low Risk
50065,0,24.0,Mobile Phone,1,9.0,Credit Card,Female,3.0,3,Grocery,4,Single,4,0,18.0,0.0,2.0,0.0,237.33999999999997,474.67999999999995,High Value,0.005,0.031274223747854574,Low Risk
50066,0,25.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Others,3,Divorced,1,0,15.0,1.0,11.0,9.0,299.99,3299.8900000000003,High Value,0.005,0.19658140895615542,Low Risk
50067,0,9.0,Phone,1,15.0,CC,Female,2.0,3,Mobile,4,Single,2,0,16.0,1.0,1.0,3.0,122.78999999999999,122.78999999999999,Low Value,0.005,0.010684623186144484,Low Risk
50068,1,0.0,Mobile Phone,1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,4,1,13.0,1.0,1.0,1.0,159.16,159.16,Low Value,0.93,0.6603126852863161,High Risk
50069,0,9.0,Computer,1,13.0,CC,Male,2.0,2,Mobile,2,Married,5,0,14.0,0.0,2.0,2.0,120.88999999999999,241.77999999999997,Low Value,0.005,0.017646902792947415,Low Risk
50070,0,18.0,Computer,1,8.0,Credit Card,Male,3.0,4,Grocery,2,Divorced,10,0,23.0,1.0,11.0,8.0,267.92,2947.1200000000003,High Value,0.01,0.1794403183023873,Low Risk
50071,0,10.0,Phone,1,27.0,Debit Card,Male,3.0,2,Mobile Phone,5,Divorced,2,1,12.0,0.0,1.0,7.0,135.64,135.64,Low Value,0.06,0.04993649555312841,Low Risk
50072,0,8.0,Computer,1,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Single,6,0,11.0,1.0,1.0,2.0,144.25,144.25,Low Value,0.01,0.015440279294741769,Low Risk
50073,0,15.0,Computer,1,27.0,Credit Card,Female,2.0,3,Laptop & Accessory,3,Married,3,0,16.0,0.0,1.0,2.0,152.65,152.65,Low Value,0.01,0.015931775628023094,Low Risk
50074,0,11.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,10,0,14.0,0.0,1.0,0.0,165.53,165.53,Low Value,0.01,0.016685403339054453,Low Risk
50075,0,11.0,Mobile Phone,1,35.0,COD,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,18.0,0.0,1.0,7.0,162.61,162.61,Low Value,0.015,0.020014549851770945,Low Risk
50076,0,0.0,Computer,1,6.0,COD,Male,2.0,4,Laptop & Accessory,5,Divorced,6,0,19.0,0.0,2.0,0.0,142.98,285.96,Medium Value,0.12,0.10073193946013417,Low Risk
50077,0,22.0,Computer,1,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Married,2,1,15.0,0.0,1.0,7.0,168.04,168.04,Low Value,0.005,0.013332267124356374,Low Risk
50078,0,7.0,Computer,1,16.0,Credit Card,Male,2.0,3,Mobile Phone,3,Married,2,1,17.0,2.0,2.0,0.0,138.15,276.3,Low Value,0.225,0.17366671867686068,Low Risk
50079,0,13.0,Phone,1,25.0,CC,Male,3.0,3,Laptop & Accessory,2,Divorced,9,1,15.0,1.0,3.0,7.0,127.41,382.23,Medium Value,0.035,0.046864838508347634,Low Risk
50080,1,1.0,Mobile Phone,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,1,19.0,0.0,1.0,0.0,166.73,166.73,Low Value,0.55,0.3947556171009518,Medium Risk
50081,1,0.0,Mobile Phone,3,33.0,E wallet,Female,2.0,3,Fashion,2,Divorced,2,0,22.0,1.0,1.0,9.0,176.39,176.39,Low Value,0.855,0.6088208378842253,High Risk
50082,0,0.0,Phone,1,14.0,Debit Card,Male,2.0,2,Mobile,4,Married,2,1,16.0,0.0,2.0,2.0,123.28,246.56,Low Value,0.19,0.14742658761117178,Low Risk
50083,0,9.0,Computer,1,24.0,CC,Female,3.0,3,Mobile,2,Single,2,0,13.0,1.0,1.0,7.0,121.53,121.53,Low Value,0.005,0.010610898736152286,Low Risk
50084,0,13.0,Computer,1,15.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,10,0,14.0,1.0,1.0,2.0,148.76,148.76,Low Value,0.01,0.01570416601653924,Low Risk
50085,0,19.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Fashion,5,Married,8,0,16.0,0.0,1.0,3.0,193.96,193.96,Low Value,0.005,0.014848884381338743,Low Risk
50086,1,0.0,Mobile Phone,3,10.0,Credit Card,Male,2.0,5,Fashion,2,Divorced,2,0,11.0,7.0,9.0,8.0,204.0,1836.0,High Value,0.945,0.7689270557029177,High Risk
50087,0,3.0,Computer,1,6.0,Debit Card,Male,2.0,4,Fashion,3,Single,2,0,22.0,2.0,5.0,8.0,184.74,923.7,High Value,0.005,0.05754704322047122,Low Risk
50088,0,0.0,Computer,3,26.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,2,0,14.0,1.0,1.0,7.0,199.81,199.81,Low Value,0.02,0.02569117647058823,Low Risk
50089,0,24.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,4,Fashion,4,Divorced,6,0,16.0,1.0,4.0,3.0,224.89999999999998,899.5999999999999,High Value,0.01,0.059636916835699785,Low Risk
50090,1,0.0,Phone,1,14.0,COD,Female,2.0,3,Mobile,5,Single,6,1,11.0,1.0,1.0,4.0,126.57,126.57,Low Value,0.955,0.675905796536121,High Risk
50091,0,14.0,Mobile Phone,3,12.0,Debit Card,Female,3.0,3,Fashion,2,Single,4,1,18.0,0.0,2.0,0.0,235.91000000000003,471.82000000000005,High Value,0.02,0.041606880948665936,Low Risk
50092,1,0.0,Computer,3,32.0,E wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,0,15.0,0.0,1.0,1.0,166.96,166.96,Low Value,0.945,0.6712690747386487,High Risk
50093,1,9.0,Phone,1,6.0,Cash on Delivery,Male,2.0,3,Mobile,3,Single,1,0,14.0,0.0,1.0,5.0,120.58000000000001,120.58000000000001,Low Value,0.66,0.46905531284131685,Medium Risk
50094,0,18.0,Computer,3,12.0,Credit Card,Female,2.0,4,Fashion,2,Single,7,0,12.0,12.0,12.0,8.0,188.65,2263.8,High Value,0.005,0.13595826181931658,Low Risk
50095,0,27.0,Mobile Phone,3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Divorced,3,0,14.0,1.0,1.0,5.0,159.4,159.4,Low Value,0.005,0.012826728038695584,Low Risk
50096,0,9.0,Mobile Phone,1,11.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,9,0,16.0,0.0,3.0,7.0,159.14,477.41999999999996,High Value,0.0,0.027934545170853486,
50097,0,6.0,Phone,1,14.0,CC,Female,2.0,4,Mobile,4,Divorced,7,0,21.0,0.0,1.0,1.0,126.22,126.22,Low Value,0.05,0.04238531752223435,Low Risk
50098,0,10.0,Computer,1,17.0,UPI,Male,2.0,3,Fashion,2,Married,2,1,14.0,0.0,1.0,3.0,221.85000000000002,221.85000000000002,Low Value,0.005,0.01648076923076923,Low Risk
50099,0,11.0,Mobile Phone,3,9.0,Debit Card,Male,3.0,3,Fashion,3,Married,1,0,12.0,1.0,5.0,13.0,206.08999999999997,1030.4499999999998,High Value,0.005,0.06379314245592135,Low Risk
50100,0,4.0,Computer,1,6.0,Credit Card,Male,2.0,5,Laptop & Accessory,3,Divorced,1,0,12.0,1.0,1.0,4.0,143.45,143.45,Low Value,0.005,0.011893470120143548,Low Risk
50101,0,9.0,Phone,1,9.0,Debit Card,Male,3.0,4,Mobile,2,Divorced,4,0,17.0,0.0,1.0,0.0,121.77000000000001,121.77000000000001,Low Value,0.105,0.08062494148853175,Low Risk
50102,0,10.0,Computer,3,10.0,E wallet,Male,2.0,3,Mobile Phone,2,Married,5,0,17.0,1.0,5.0,8.0,0.0,0.0,Low Value,0.045,0.0315,Low Risk
50103,0,2.0,Computer,3,6.0,Credit Card,Female,2.0,3,Fashion,2,Divorced,2,0,14.0,4.0,4.0,1.0,179.18,716.72,High Value,0.045,0.07343633952254641,Low Risk
50104,0,8.0,Computer,3,6.0,E wallet,Female,3.0,3,Fashion,3,Single,2,0,14.0,1.0,1.0,8.0,187.89,187.89,Low Value,0.02,0.024993719769074735,Low Risk
50105,1,0.0,Phone,1,14.0,CC,Male,2.0,4,Mobile,2,Single,2,1,13.0,0.0,1.0,1.0,123.88999999999999,123.88999999999999,Low Value,0.94,0.6652489858012169,High Risk
50106,0,25.0,Phone,1,8.0,Debit Card,Female,2.0,4,Mobile,2,Single,8,0,15.0,0.0,2.0,2.0,132.12,264.24,Low Value,0.01,0.02246107036979248,Low Risk
50107,0,15.0,Mobile Phone,1,10.0,Cash on Delivery,Male,2.0,3,Others,2,Divorced,2,0,15.0,0.0,11.0,15.0,292.32,3215.52,High Value,0.0,0.1881447963800905,
50108,0,9.0,Phone,2,12.0,CC,Male,2.0,3,Mobile,3,Divorced,9,0,17.0,2.0,2.0,2.0,122.66999999999999,245.33999999999997,Low Value,0.015,0.024855203619909498,Low Risk
50109,0,23.0,Mobile Phone,3,6.0,Credit Card,Female,3.0,3,Others,2,Married,4,0,15.0,1.0,1.0,6.0,295.17,295.17,Medium Value,0.01,0.024270830082696208,Low Risk
50110,1,0.0,Phone,1,14.0,CC,Male,2.0,3,Mobile,2,Divorced,6,1,13.0,0.0,1.0,4.0,124.36000000000001,124.36000000000001,Low Value,0.925,0.6547764861912935,High Risk
50111,0,16.0,Mobile Phone,3,22.0,E wallet,Female,3.0,3,Grocery,2,Divorced,6,1,22.0,0.0,2.0,9.0,260.64,521.28,High Value,0.05,0.06550085816820096,Low Risk
50112,1,0.0,Phone,1,8.0,Debit Card,Female,3.0,3,Mobile,5,Divorced,8,0,20.0,1.0,1.0,7.0,127.07,127.07,Low Value,0.415,0.29793505227024497,Medium Risk
50113,0,25.0,Computer,3,8.0,Debit Card,Male,3.0,4,Others,3,Single,2,1,18.0,1.0,15.0,12.0,290.68,4360.2,High Value,0.075,0.3076217038539554,Low Risk
50114,0,5.0,Phone,3,10.0,Debit Card,Female,2.0,3,Mobile Phone,4,Divorced,3,0,11.0,1.0,1.0,2.0,139.31,139.31,Low Value,0.055,0.046651232641597755,Low Risk
50115,1,0.0,Phone,1,6.0,Debit Card,Male,3.0,4,Mobile Phone,3,Single,1,1,14.0,1.0,1.0,2.0,137.3,137.3,Low Value,0.81,0.5750336245904196,High Risk
50116,0,9.0,Phone,1,6.0,CC,Female,3.0,3,Mobile,3,Married,8,0,14.0,0.0,1.0,2.0,122.32,122.32,Low Value,0.005,0.010657122796068029,Low Risk
50117,0,5.0,Computer,3,32.0,E wallet,Male,3.0,3,Laptop & Accessory,2,Divorced,1,0,18.0,1.0,2.0,2.0,144.65,289.3,Medium Value,0.015,0.027427367764081757,Low Risk
50118,0,14.0,Phone,1,25.0,Debit Card,Male,3.0,3,Laptop & Accessory,5,Married,3,0,16.0,1.0,1.0,0.0,130.72,130.72,Low Value,0.065,0.05314861912934935,Low Risk
50119,0,13.0,Phone,1,30.0,COD,Male,3.0,3,Laptop & Accessory,2,Married,2,0,17.0,2.0,4.0,7.0,133.19,532.76,High Value,0.0,0.031172569823685443,
50120,0,18.0,Mobile Phone,1,6.0,UPI,Male,3.0,2,Others,2,Divorced,1,0,15.0,1.0,1.0,7.0,292.02,292.02,Medium Value,0.015,0.02758651895771571,Low Risk
50121,0,4.0,Computer,1,9.0,Credit Card,Male,3.0,3,Fashion,3,Married,10,0,12.0,1.0,2.0,2.0,236.75,473.5,High Value,0.01,0.03470518021532221,Low Risk
50122,0,6.0,Phone,1,11.0,Debit Card,Female,3.0,4,Mobile,2,Divorced,2,0,13.0,0.0,1.0,2.0,129.11,129.11,Low Value,0.015,0.018054415665470433,Low Risk
50123,0,7.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Divorced,7,0,13.0,0.0,5.0,9.0,159.57,797.8499999999999,High Value,0.01,0.05368337494148853,Low Risk
50124,0,10.0,Phone,1,6.0,Credit Card,Female,2.0,4,Mobile Phone,5,Divorced,3,0,14.0,1.0,1.0,2.0,139.2,139.2,Low Value,0.01,0.015144796380090496,Low Risk
50125,0,18.0,Computer,1,13.0,Debit Card,Male,3.0,2,Laptop & Accessory,3,Divorced,5,0,17.0,0.0,1.0,2.0,164.34,164.34,Low Value,0.0,0.009615774691839602,
50126,1,0.0,Computer,1,16.0,Credit Card,Male,3.0,3,Fashion,3,Married,7,0,11.0,1.0,1.0,0.0,200.48,200.48,Low Value,0.945,0.6732303791543143,High Risk
50127,0,12.0,Computer,1,8.0,Cash on Delivery,Female,3.0,3,Fashion,3,Single,1,0,25.0,10.0,11.0,3.0,209.38,2303.18,High Value,0.025,0.15226244343891399,Low Risk
50128,0,2.0,Phone,1,14.0,Debit Card,Male,2.0,3,Mobile,2,Single,2,0,19.0,0.0,1.0,5.0,123.4,123.4,Low Value,0.045,0.03872031518177563,Low Risk
50129,0,15.0,Mobile Phone,1,23.0,Debit Card,Female,2.0,2,Laptop & Accessory,5,Single,4,1,13.0,0.0,1.0,2.0,165.45,165.45,Low Value,0.015,0.020180722421594632,Low Risk
50130,0,2.0,Mobile Phone,3,26.0,E wallet,Male,2.0,3,Laptop & Accessory,2,Married,3,0,14.0,1.0,1.0,2.0,169.31,169.31,Low Value,0.01,0.016906576689031047,Low Risk
50131,0,0.0,Phone,1,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,1,0,12.0,1.0,1.0,2.0,148.98,148.98,Low Value,0.045,0.04021703853955375,Low Risk
50132,0,15.0,Phone,1,14.0,CC,Female,2.0,4,Mobile,5,Married,1,1,11.0,4.0,7.0,8.0,125.93,881.51,High Value,0.05,0.08657844437509751,Low Risk
50133,0,13.0,Mobile Phone,1,8.0,Credit Card,Male,2.0,3,Others,3,Married,1,0,15.0,0.0,3.0,9.0,294.36,883.08,High Value,0.0,0.051670307380246534,
50134,0,24.0,Phone,1,6.0,Debit Card,Male,3.0,3,Mobile,2,Divorced,2,0,11.0,1.0,1.0,0.0,127.22999999999999,127.22999999999999,Low Value,0.065,0.05294441410516461,Low Risk
50135,1,0.0,Computer,1,35.0,CC,Male,3.0,4,Mobile,4,Single,1,0,11.0,1.0,1.0,4.0,134.79,134.79,Low Value,0.875,0.6203867608051178,High Risk
50136,0,5.0,Computer,1,13.0,Debit Card,Male,3.0,2,Mobile,4,Divorced,2,0,20.0,0.0,1.0,3.0,127.94,127.94,Low Value,0.005,0.010985957247620533,Low Risk
